,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
282,63385,SAINT-PIERRE-LE-CHASTEL,Chavanon Combrailles et Volcans,SAINT-OURS,7,0,0,0,0,0,0,0,2020,6328
283,63410,SAUVAGNAT,Chavanon Combrailles et Volcans,SAINT-OURS,7,6,0,0,0,0,6,0,2020,6328
284,63386,SAINT-PIERRE-ROCHE,Dômes Sancy Artense,ORCINES,11,10,0,0,0,9,0,6,2020,6323
285,63440,VALBELEIX,Massif du Sancy,LE SANCY,0,0,0,0,0,0,0,0,2020,6329
286,63214,LES MARTRES-DE-VEYRE,Mond'Arverne Communauté,LES MARTRES-DE-VEYRE,71,51,20,0,22,45,28,43,2020,6321
287,63315,SAINT-AMANT-TALLENDE,Mond'Arverne Communauté,LES MARTRES-DE-VEYRE,27,18,9,0,0,21,12,15,2020,6321
288,63323,SAINT-BONNET-LE-BOURG,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,7,0,0,0,0,0,6,0,2020,6322
289,63438,TREZIOUX,Billom Communauté,BILLOM,15,11,0,0,0,12,8,7,2020,6305
290,63148,ENNEZAT,Riom Limagne et Volcans,AIGUEPERSE,20,16,0,0,0,15,10,10,2020,6301
291,63170,LA GOUTELLE,Chavanon Combrailles et Volcans,SAINT-OURS,14,11,0,0,0,10,10,0,2020,6328
292,63234,MONTAIGUT-LE-BLANC,Agglo Pays d'Issoire,LE SANCY,9,0,0,0,0,9,7,0,2020,6329
293,63277,PESLIERES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
294,63106,CHAURIAT,Billom Communauté,BILLOM,28,22,6,0,7,20,14,14,2020,6305
295,63403,SAINT-VINCENT,Agglo Pays d'Issoire,LE SANCY,0,0,0,0,0,0,0,0,2020,6329
296,63095,CHARNAT,Thiers Dore et Montagne,MARINGUES,6,6,0,0,0,6,6,0,2020,6320
297,63327,SAINT-BONNET-PRES-RIOM,Riom Limagne et Volcans,RIOM,28,19,9,0,8,20,21,7,2020,6325
298,63418,SERMENTIZON,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,17,15,0,0,0,13,9,8,2020,6322
299,63121,COUDES,Agglo Pays d'Issoire,VIC-LE-COMTE,17,13,0,0,0,10,11,6,2020,6331
300,63040,BILLOM,Billom Communauté,BILLOM,94,73,21,18,16,60,45,49,2020,6305
301,63142,ECHANDELYS,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,13,11,0,0,7,0,7,6,2020,6322
302,63126,LE CREST,Mond'Arverne Communauté,LES MARTRES-DE-VEYRE,14,12,0,0,0,9,8,6,2020,6321
303,63141,DURTOL,Clermont Auvergne Métropole,CEBAZAT,37,27,10,0,8,25,20,17,2020,6307
304,63113,CLERMONT-FERRAND,Clermont Auvergne Métropole,CLERMONT-FERRAND 3,437,354,83,56,105,276,206,231,2020,6312
305,63113,CLERMONT-FERRAND,Clermont Auvergne Métropole,CLERMONT-FERRAND 5,511,415,96,78,108,325,217,294,2020,6314
306,63224,MENETROL,Riom Limagne et Volcans,CHATELGUYON,20,19,0,0,6,13,13,7,2020,6309
307,63032,BEAUMONT,Clermont Auvergne Métropole,BEAUMONT,199,155,44,26,40,133,101,98,2020,6304
308,63022,AUZAT-LA-COMBELLE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,69,55,14,6,18,45,38,31,2020,6306
309,63063,CEBAZAT,Clermont Auvergne Métropole,CEBAZAT,182,132,50,20,50,112,92,90,2020,6307
310,63096,CHAS,Billom Communauté,BILLOM,0,0,0,0,0,0,0,0,2020,6305
311,63168,GLAINE-MONTAIGUT,Billom Communauté,BILLOM,9,7,0,0,0,6,0,8,2020,6305
312,63199,LUDESSE,Agglo Pays d'Issoire,LE SANCY,10,8,0,0,0,6,6,0,2020,6329
313,63414,SAUVIAT,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,6,0,0,0,0,0,0,0,2020,6322
314,63223,MENAT,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,17,14,0,0,0,10,10,7,2020,6326
315,63299,RENTIERES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,6,0,0,0,0,0,0,0,2020,6306
316,63180,JOZE,Entre Dore et Allier,LEZOUX,26,21,0,0,0,20,14,12,2020,6319
317,63230,LE MONESTIER,Ambert Livradois Forez,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2020,6322
318,63247,MUROL,Massif du Sancy,LE SANCY,22,15,7,0,0,14,12,10,2020,6329
319,63260,OLMET,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,0,0,0,0,0,0,0,0,2020,6322
320,63279,PICHERANDE,Massif du Sancy,LE SANCY,15,12,0,0,0,12,9,6,2020,6329
321,63357,SAINT-HERENT,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
322,63463,VISCOMTAT,Thiers Dore et Montagne,THIERS,26,21,0,0,0,20,15,11,2020,6330
323,63009,ARDES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,32,23,9,0,0,24,13,19,2020,6306
324,63016,AUGEROLLES,Thiers Dore et Montagne,LES MONTS-DU-LIVRADOIS,28,22,6,0,6,21,16,12,2020,6322
